City,Temperature,Humidity,Clouds,Windspeed,Latitude
Puerto Ayora,27.83,70,20,5.7,-0.74
Antonovo,-0.55,67,100,2.49,55.82
Chuy,18.55,65,11,6.0,-33.69
Khatanga,-19.95,90,86,3.21,71.98
Luanda,27.0,83,75,4.1,-8.83
Fergus Falls,21.06,52,1,2.29,46.28
Larsnes,9.0,87,75,8.7,62.2
Saint George,7.47,75,40,2.1,39.45
Puerto Narino,28.0,83,40,1.5,-3.77
Weligama,29.15,77,100,7.01,5.97
Iracoubo,27.25,75,49,4.71,5.48
Calbuco,11.0,76,90,3.1,-41.77
Chokurdakh,-13.65,87,0,3.28,70.62
Inuvik,-1.55,68,75,4.6,68.36
The Valley,26.83,65,40,7.7,18.22
Kulhudhuffushi,29.55,72,98,4.93,6.62
Sobolevo,5.35,85,0,2.49,54.43
Piterka,6.85,42,0,2.26,50.68
Bundaberg,22.24,100,75,4.1,-24.87
Almaznyy,4.0,51,0,4.0,48.03
Saint-Philippe,6.88,93,90,6.7,45.36
Gari,0.65,90,60,2.12,59.43
Vaini,22.0,78,20,1.5,15.34
Thompson,2.0,59,40,3.6,55.74
Seoul,12.99,87,90,0.5,37.57
Mangai,26.85,63,29,0.68,-4.07
Moussoro,35.95,6,0,6.47,13.64
Parana,27.0,88,75,3.6,-7.52
Hlobyne,10.45,45,100,1.4,49.39
Souris,5.54,100,90,1.0,46.36
Butajira,12.85,88,100,1.82,8.12
Ancud,10.0,81,75,2.1,-41.87
Fuerte Olimpo,33.45,45,45,1.82,-21.04
Ostrovnoy,2.85,98,100,6.73,68.05
Roebourne,23.05,20,100,9.2,-20.77
Gbongan,25.05,87,100,2.17,7.47
Kaabong,21.85,61,54,1.49,3.51
Bonavista,2.78,85,100,0.89,48.65
Katherine,20.0,82,25,1.5,-14.47
Kavieng,27.85,76,28,0.98,-2.57
Abnub,17.0,59,0,2.6,27.27
Yingkou,6.65,60,100,1.91,40.67
Caluquembe,17.05,93,99,1.07,-13.78
Preobrazheniye,3.95,91,55,1.93,42.9
Phuket,26.78,74,20,2.1,7.89
Hervey Bay,22.27,100,75,4.1,-25.3
Nabire,21.45,99,100,0.66,-3.36
Tommot,-5.75,91,100,3.83,58.97
Sao Joao da Barra,27.35,83,20,2.6,-21.64
Ugoofaaru,29.75,71,100,4.99,5.67
Mecca,24.55,38,0,5.13,21.43
